task,category,condition,agent_id,n_files,core_recall,precision,f1,judge,Q,confidence,cost_usd,turns,n_calls,out_tok,doc_chars,files_read
X6,feature,C0,a33a410e8f71f0e9b,6,1.0,0.833,0.909,9,0.937,5,0.306,9,14,6695,0,4
X6,feature,M-symbols,a3232e6adceb7f769,7,1.0,0.857,0.923,9,0.941,5,0.2912,10,15,7551,22917,5
X6,feature,M-symbols,a3697d5134e325476,6,1.0,1.0,1.0,9,0.97,5,0.2481,14,21,2498,22917,4
X6,feature,M-feature,a43f6550763a1b1fe,8,1.0,0.75,0.857,8,0.89,5,0.3335,7,13,7393,19638,6
X6,feature,M-feature,a88fa8fcfe685b501,8,1.0,0.875,0.933,8,0.915,5,0.2922,10,15,4603,19638,6
X6,feature,M-folder,a57397ae7be39e141,8,1.0,0.875,0.933,9,0.945,5,0.3557,9,14,6882,19487,6
X6,feature,M-folder,a91614e420ac8a881,9,1.0,0.667,0.8,8,0.873,5,0.4026,9,13,9072,19487,7
X4,feature,M-feature,a0a3b2c6f5c324971,9,1.0,0.778,0.875,8,0.896,4,0.4475,15,20,8677,19638,7
X4,feature,M-feature,a87992ef130151ec3,8,1.0,0.875,0.933,9,0.945,4,0.3918,14,19,11512,19638,6
X4,feature,C1,a0bbdf50cedaa66ec,11,1.0,0.727,0.842,9,0.915,5,0.3041,11,18,7988,12472,4
X4,feature,C1,a8f69620a06c9460c,12,1.0,0.75,0.857,9,0.92,5,0.4378,13,18,10974,16447,4
X4,feature,M-folder,a28688955bd891f57,9,1.0,0.667,0.8,9,0.903,5,0.2933,12,15,7934,19487,6
X4,feature,M-folder,a7acaad4cef2bd3ca,10,1.0,0.8,0.889,9,0.93,4,0.3518,11,19,7420,19487,6
X4,feature,M-playbook,a2a874fc04bb3af7d,11,1.0,0.636,0.778,9,0.897,5,0.327,11,15,8760,13750,5
X4,feature,M-playbook,a56da5fc2c2193e11,10,1.0,0.7,0.824,9,0.91,5,0.3077,11,20,7036,13750,4
X4,feature,M-symbols,a66e07e70e564be48,12,1.0,0.75,0.857,9,0.92,4,0.3784,13,20,9713,22917,8
X4,feature,M-symbols,ac0c220c8366a2ac7,12,1.0,0.833,0.909,9,0.937,5,0.3093,12,12,7290,22917,3
X4,feature,C0,a82cb92ee975e3fab,11,1.0,0.818,0.9,9,0.934,5,0.3008,12,15,8294,0,3
X4,feature,C0,ae21064ac3c063b54,9,1.0,0.778,0.875,9,0.926,4,0.3331,13,18,9489,3744,6
X3,bugfix,M-symbols,a1005d66abb476f98,11,1.0,0.818,0.9,8,0.904,4,1.0064,29,29,22270,22917,10
X3,bugfix,M-symbols,a71a5ee664f3a7449,8,0.75,1.0,0.857,6,0.755,4,0.527,11,17,13032,22917,6
X3,bugfix,C0,a1203ddd33c4e2504,7,1.0,1.0,1.0,9,0.97,4,0.5376,16,23,13046,0,9
X3,bugfix,C0,a1d029f5a61758c63,7,0.25,0.714,0.37,4,0.388,5,0.396,14,20,10924,0,9
X3,bugfix,M-playbook,a3550e339e951de99,7,0.75,1.0,0.857,8,0.815,4,0.9,19,25,29405,13750,7
X3,bugfix,M-playbook,a44b04f6f02b676fe,8,0.75,0.875,0.808,7,0.76,4,0.4634,12,19,11164,13750,6
X3,bugfix,M-folder,a3e1661e99017ebdc,10,0.75,0.7,0.724,6,0.695,4,0.6546,17,23,17547,19487,3
X3,bugfix,M-folder,a498cef7736dddb10,10,0.75,0.7,0.724,6,0.695,4,0.763,18,29,19246,19487,8
X3,bugfix,M-feature,a3fd581fd760e428d,9,0.25,0.667,0.364,5,0.408,4,0.7776,22,25,18608,19638,9
X3,bugfix,M-feature,a788dd82202565835,9,0.25,0.667,0.364,5,0.408,4,0.4418,16,16,10164,19638,6
X3,bugfix,C1,ab0bdcd6cc63f2e40,9,0.25,0.556,0.345,5,0.386,4,0.4166,19,20,6801,15755,5
X3,bugfix,C1,acf4bb9ee075467e7,9,0.25,0.556,0.345,5,0.386,4,0.5954,20,25,14460,12725,9
X5,perf,M-playbook,a0ad0687f7ca1f800,7,1.0,1.0,1.0,9,0.97,4,0.4813,10,13,16365,13750,3
X5,perf,M-playbook,a96328dba2cc18964,6,1.0,1.0,1.0,9,0.97,4,0.4889,10,12,14134,13750,4
X5,perf,M-feature,a0e8f4a6d8796fef4,8,1.0,0.875,0.933,9,0.945,4,0.5612,11,17,17186,19638,4
X5,perf,M-feature,a57f2761510bc5569,8,1.0,0.875,0.933,9,0.945,4,0.4613,8,11,13752,19638,4
X5,perf,C0,a17559040b191f9b2,8,1.0,0.875,0.933,9,0.945,4,0.6577,13,18,20294,0,5
X5,perf,C0,a6e191342aedd6676,8,1.0,0.875,0.933,9,0.945,4,0.8664,21,27,26690,0,9
X5,perf,M-folder,a2df2b1a37742a74a,8,1.0,1.0,1.0,9,0.97,4,0.4655,10,15,10018,19487,7
X5,perf,M-folder,a30259155b7d8e3b9,9,1.0,0.889,0.941,9,0.948,4,0.3693,7,12,9205,19487,6
X5,perf,M-symbols,a36fe2e06b104441a,7,0.8,0.857,0.828,8,0.811,4,0.5141,12,17,12751,22917,6
X5,perf,M-symbols,a597b5d002bde4cc4,8,0.8,0.875,0.836,8,0.815,4,0.6159,12,15,17012,22917,6
X5,perf,C1,a71e8e0589e70145a,8,1.0,1.0,1.0,9,0.97,4,0.7143,19,26,19174,11571,7
X5,perf,C1,a812aa09d49dc3ef9,8,1.0,0.75,0.857,9,0.92,4,0.5987,15,21,15921,9314,5
X2,bugfix,M-feature,a03358a9793012a95,11,1.0,1.0,1.0,9,0.97,4,0.6045,16,27,16946,19638,8
X2,bugfix,M-feature,a4159d7a40ad5de83,12,1.0,0.75,0.857,9,0.92,4,0.6936,22,32,11866,19638,12
X2,bugfix,C0,a1980f920d2ddef47,11,1.0,1.0,1.0,9,0.97,3,0.903,29,40,20145,0,14
X2,bugfix,C0,af657e2fe446077a4,12,1.0,1.0,1.0,9,0.97,4,0.8345,21,34,22330,0,11
X2,bugfix,M-symbols,a298c3c5a46bdd23a,10,1.0,0.9,0.947,9,0.95,4,0.898,21,33,20664,22917,15
X2,bugfix,M-symbols,a41c389c091cd2027,11,1.0,0.909,0.952,9,0.952,4,0.6307,18,25,14756,22917,9
X2,bugfix,M-folder,a39231dbc831c67d5,11,1.0,1.0,1.0,9,0.97,4,0.8547,24,34,19806,19487,15
